Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3,P1UDT882LV.1,P1UDT882LV.2,P1UDM3853.1,P1UDM3853.2,P1ULV4110.1,P1ULV4110.2,P1UDT883LV.1,P1UDT883LV.2,P1UDM3854.1,P1UDM3854.2,P1ULV4111.1,P1UDT884LV.1,P1UDT884LV.2,P1UDM3856.1,P1UDM3856.2,P1UDT893LV.1,P1UDT893LV.2,P1ULV4136.1,P1UDM3883.1,P1UDM3883.2,P1ULV4137.2,P1UDT894LV.1,P1UDT894LV.2,P1UDM3884.1,P1UDM3884.2,P1ULV4138.1,P1UDT895LV.1,P1UDT895LV.2,P1ULV7543.2,P1UDM3885.1,P1UDM3885.2,P1ULV4139.1,P1ULV4139.2,P1UDM3887.1,P1UDM3887.2,P1ULV4140.1,P1ULV4140.2,P1UDM3889.1,P1UDM3889.2,P1ULV7633.1,P1ULV7633.2,P1UDT896LV.1,P1UDT896LV.2,P1UDM3888.1,P1UDM3888.2,P1ULV4197.1,P1UDT909LV.1,P1UDT909LV.2,P1ULV4155.1,P1ULV4155.2,P1UDT942LV.1,P1UDT942LV.2,P1ULV4193.1,P1ULV4193.2,P1UDT943LV.1,P1UDT943LV.2,P1ULV4196.1,P1ULV4196.2,P1UDT1431LV.1,P1UDT1431LV.2,P1ULV7544.1,P1ULV7544.2,P1UDT1432LV.1,P1UDT1432LV.2,P1UDT1433LV.1,P1UDT1433LV.2,P1ULV7547.1,P1ULV7547.2,P1UDT908-P1UDT909X.2,P1UDT909.2,P1UDT1433-P1UDT882X.3,P1UDT882.3,P1UDT1432-P1UDT881X.2,P1UDT1432.2,P1UDT896-P1UDT938X.3,P1UDT896.3,P1UDT942.1,P1UDT942.2,P1UDT942.3,P1UDT907LV.1,P1UDT907LV.2,P1UDT907LV.3,P1ULV4153.1,P1ULV4153.3,P1UDT908LV.1,P1UDT908LV.2,P1UDT908LV.3,P1ULV4154.1,P1ULV4154.2,P1ULV4154.3,P1UDT907.1,P1UDT907.2,P1UDT907.3,P1UDT908.1,P1UDT908.2,P1UDT908.3,P1UDT893.1,P1UDT893.2,P1UDT893.3,P1UDT894.1,P1UDT894.2,P1UDT894.3,P1UDT1425LV.1,P1UDT1425LV.2,P1UDT1425LV.3,P1ULV7531.1,P1ULV7531.3,P1UDT881LV.1,P1UDT881LV.2,P1UDT881LV.3,P1UDT1425-P1UDT881X.1,P1UDT1425-P1UDT881X.2,P1UDT1425-P1UDT881X.3,P1UDT881.1,P1UDT881.2,P1UDT881.3,P1UDT1433.1,P1UDT1433.2,P1UDT1433.3,P1UDT1425.1,P1UDT1425.2,P1UDT1425.3,P1UDT883.1,P1UDT883.2,P1UDT883.3,P1UDT884.1,P1UDT884.2,P1UDT884.3,P1UDT1431.1,P1UDT1431.2,P1UDT1431.3,P1UDT1431-P1UDT895X.1,P1UDT1431-P1UDT895X.2,P1UDT1431-P1UDT895X.3,P1UDT894-P1UDT895X.1,P1UDT894-P1UDT895X.2,P1UDT894-P1UDT895X.3,P1UDT895.1,P1UDT895.2,P1UDT895.3,P1UDT894-P1UDT942X.1,P1UDT894-P1UDT942X.2,P1UDT894-P1UDT942X.3,P1UDT939LV.1,P1UDT939LV.2,P1UDT939LV.3,P1ULV4189.1,P1ULV4189.2,P1ULV4189.3,P1UDT938LV.1,P1UDT938LV.2,P1UDT938LV.3,P1ULV4188.1,P1ULV4188.2,P1ULV4188.3,P1UDT892LV.1,P1UDT892LV.2,P1UDT892LV.3,P1ULV4132.2,P1ULV4132.3,P1UDT938.1,P1UDT938.2,P1UDT938.3,P1UDT892.1,P1UDT892.2,P1UDT892.3,P1UDT943.1,P1UDT943.2,P1UDT943.3,P1UDT939.1,P1UDT939.2,P1UDT939.3
4/1/2018 7:00,-455.8937016,-490.872051,-489.6289811,0,0,0,0,-3.711742479,-3.718475726,0,0,0,0,5.509183178,0,0,0,0,0,0,1.842371253,0,0,10.89499394,0,0,0,0,1.660119791,0,0,17.9357824,0,0,4.800472128,4.800470154,0,0,7.982825074,7.982826924,0,0,-5.013681275,-5.01473497,0,0,0,0,4.206054567,0,0,2.425155539,2.425155445,0,0,5.129860539,5.208573307,0,0,16.84535555,16.84358889,0,0,11.86333345,11.86333461,0,0,0,0,4.138048402,4.138048448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.62778167,27.62778359,0,0,0,26.41163231,26.41162941,26.41163316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0439675,144.0440328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.08874748,57.0887327,57.0887622,0,0,0,27.75420231,27.75419533,27.75420637,0,0,0,16.29980293,16.29980554,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 7:15,-463.7403921,-498.8678443,-487.7712516,0,0,0,0,-6.028476551,-6.040793117,0,0,0,0,6.813126052,0,0,0,0,0,0,1.950811711,0,0,11.02921483,0,0,0,0,0.99665686,0,0,18.29804529,0,0,5.11624692,5.116244813,0,0,8.253645817,8.253649174,0,0,-7.293187221,-7.294816812,0,0,0,0,4.236496806,0,0,1.83960734,1.839607299,0,0,2.467199621,2.476639294,0,0,16.78604785,16.78346579,0,0,11.93566566,11.93566618,0,0,0,0,3.940333958,3.940333993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.96495545,27.96495885,0,0,0,27.08444415,27.08444159,27.08444531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.80018,148.8002787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.28720263,58.28718994,58.28722009,0,0,0,28.15667181,28.15666613,28.15667694,0,0,0,22.11170228,22.11170954,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 7:30,-458.8685691,-512.7188626,-481.59542,0,0,0,0,-10.02274233,-10.03580433,0,0,0,0,6.52844256,0,0,0,0,0,0,1.51651737,0,0,11.16113926,0,0,0,0,0.946599577,0,0,18.52081677,0,0,5.218306539,5.218306426,0,0,8.373491544,8.373491379,0,0,-10.272916,-10.27509673,0,0,0,0,4.652429707,0,0,5.681186211,5.681186184,0,0,-0.443088067,-0.4488516,0,0,16.68478804,16.68123467,0,0,12.54974035,12.5497402,0,0,0,0,3.782542672,3.782542672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.33115007,28.33115061,0,0,0,28.08786415,28.08786398,28.08786425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.1720521,154.1720734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.58285682,58.5828558,58.58285781,0,0,0,28.49689801,28.49689734,28.49689817,0,0,0,25.98795213,25.98795353,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 7:45,-456.5185271,-509.6933837,-471.7351564,0,0,0,0,-12.57776485,-12.59810701,0,0,0,0,6.055204504,0,0,0,0,0,0,1.609694426,0,0,10.94294864,0,0,0,0,0.868954626,0,0,18.28039969,0,0,5.146001256,5.146001143,0,0,8.270264409,8.270263736,0,0,-13.88778656,-13.89068158,0,0,0,0,4.739312979,0,0,1.460018643,1.460018643,0,0,-3.82587598,-3.785599271,0,0,15.99924497,15.9947841,0,0,13.52377206,13.52377193,0,0,0,0,3.4945954,3.494595401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.74607008,27.7460705,0,0,0,28.24102542,28.24102501,28.24102531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.0256133,151.0256366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.07065183,57.07064977,57.07065158,0,0,0,27.78608015,27.78607879,27.78607974,0,0,0,24.04512504,24.0451268,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 8:00,-447.6891449,-511.0384795,-459.5457971,0,0,0,0,-14.29780341,-14.32214106,0,0,0,0,5.793661489,0,0,0,0,0,0,1.591808519,0,0,11.00864315,0,0,0,0,0.827433222,0,0,18.53225954,0,0,5.204798194,5.204798078,0,0,8.378322182,8.378320809,0,0,-15.99201981,-15.99524592,0,0,0,0,4.718318104,0,0,3.315798228,3.315798224,0,0,-5.98020355,-5.944504619,0,0,15.89637869,15.89130008,0,0,14.20248142,14.20248131,0,0,0,0,2.811313043,2.811313043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.93598523,27.9359857,0,0,0,28.07335968,28.07335907,28.07335929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.5018817,151.5019085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.27053223,57.27052872,57.27053054,0,0,0,28.03042254,28.03042022,28.03042142,0,0,0,21.01913165,21.01913386,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 8:15,-441.3330452,-513.263631,-450.2337365,0,0,0,0,-16.48900516,-16.51618037,0,0,0,0,5.61616588,0,0,0,0,0,0,1.656028027,0,0,10.93816972,0,0,0,0,0.709571309,0,0,18.40842104,0,0,5.212484541,5.212484426,0,0,8.3286337,8.328631456,0,0,-17.77581668,-17.77962901,0,0,0,0,4.639665788,0,0,5.45148196,5.451481935,0,0,-8.072026172,-7.985572538,0,0,15.66699993,15.66134054,0,0,14.12381045,14.12381034,0,0,0,0,2.568900722,2.568900722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.83840146,27.83840194,0,0,0,27.98841657,27.98841569,27.98841583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.5283319,150.5283591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.90876197,56.90875679,56.9087587,0,0,0,27.83354778,27.83354439,27.83354592,0,0,0,19.04445471,19.04445755,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 8:30,-442.9656362,-509.1786162,-449.9967776,0,0,0,0,-17.40395771,-17.43400506,0,0,0,0,6.020733026,0,0,0,0,0,0,1.553516474,0,0,10.9155084,0,0,0,0,0.713668218,0,0,18.40517143,0,0,5.107493832,5.107493828,0,0,8.287741454,8.287741796,0,0,-18.75313385,-18.75707868,0,0,0,0,4.662436221,0,0,2.379567154,2.379567154,0,0,-8.997004597,-8.877798332,0,0,15.58860422,15.58273107,0,0,13.56918857,13.56918856,0,0,0,0,2.338613585,2.338613585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.72441299,27.72441309,0,0,0,28.16972598,28.16972608,28.16972614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.044797,150.0448008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.79845068,56.79845134,56.79845142,0,0,0,27.88448495,27.88448535,27.88448528,0,0,0,21.1170013,21.11700098,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 8:45,-426.0361932,-495.4104194,-435.7730734,0,0,0,0,-18.83017732,-18.85529552,0,0,0,0,6.143393222,0,0,0,0,0,0,1.097987921,0,0,10.9579431,0,0,0,0,0.718895361,0,0,18.5300843,0,0,4.998273857,4.998273853,0,0,8.313813563,8.313813933,0,0,-18.97175072,-18.97568782,0,0,0,0,4.704689694,0,0,1.621211218,1.621211218,0,0,-9.247980054,-9.151021721,0,0,15.66256451,15.65662559,0,0,13.90851575,13.90851574,0,0,0,0,2.345072565,2.345072565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8194672,27.81946731,0,0,0,27.90825984,27.90825996,27.90826002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.477429,150.477433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0067773,57.00677801,57.00677809,0,0,0,28.4263887,28.42638914,28.42638906,0,0,0,8.379816749,8.379816484,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 9:00,-419.5620655,-494.7403298,-423.4586253,0,0,0,0,-21.71038754,-21.73897002,0,0,0,0,6.60884562,0,0,0,0,0,0,1.125699648,0,0,11.0809499,0,0,0,0,0.728261279,0,0,18.82010727,0,0,5.053757406,5.053757402,0,0,8.368582987,8.368583785,0,0,-21.64342808,-21.64785099,0,0,0,0,4.810032955,0,0,1.841877121,1.841877121,0,0,-11.96145385,-11.96276631,0,0,15.57218886,15.5653479,0,0,14.6932241,14.69322409,0,0,0,0,2.309073622,2.309073622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.97911435,27.97911452,0,0,0,28.08765986,28.08766011,28.08766021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.1544556,152.1544607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.67360036,57.67360196,57.67360198,0,0,0,28.50172443,28.50172542,28.50172518,0,0,0,9.345723972,9.345723384,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2018 9:15,-420.2687872,-506.5421041,-419.0546249,0,0,0,0,-23.72739872,-23.76757303,0,0,0,0,6.521099538,0,0,0,0,0,0,1.066147141,0,0,10.87343876,0,0,0,0,0.828527858,0,0,18.5679188,0,0,4.960694225,4.960694221,0,0,8.210348066,8.210349251,0,0,-23.53393574,-23.5398778,0,0,0,0,4.761796745,0,0,5.660974817,5.660974817,0,0,-15.03438887,-14.76926575,0,0,15.04233668,15.03482758,0,0,14.58143669,14.58143668,0,0,0,0,2.249267954,2.249267954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.31981734,27.31981753,0,0,0,27.83359498,27.83359534,27.83359543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.3603796,149.3603856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.64004147,56.64004365,56.64004353,0,0,0,27.93881291,27.93881426,27.93881385,0,0,0,9.581344581,9.581343744,0,0,0,0,0,0,0,0,0,0,0,0
